,Survived,Pclass,Sex,Age,Family_size,Embarked_Q,Embarked_S,Embarked_C_1,fare_category,Has_Cabin
0,0,3,1,22.0,2,0,1,0,Low,0
1,1,1,0,38.0,2,0,0,1,High,1
2,1,3,0,26.0,1,0,1,0,Low,0
3,1,1,0,35.0,2,0,1,0,High,1
4,0,3,1,35.0,1,0,1,0,Low,0
5,0,3,1,29.7,1,1,0,0,Low,0
6,0,1,1,54.0,1,0,1,0,High,1
7,0,3,1,2.0,5,0,1,0,Medium,0
8,1,3,0,27.0,3,0,1,0,Low,0
9,1,2,0,14.0,2,0,0,1,Medium,0
10,1,3,0,4.0,3,0,1,0,Medium,1
11,1,1,0,58.0,1,0,1,0,Medium,1
12,0,3,1,20.0,1,0,1,0,Low,0
13,0,3,1,39.0,7,0,1,0,Medium,0
14,0,3,0,14.0,1,0,1,0,Low,0
15,1,2,0,55.0,1,0,1,0,Medium,0
16,0,3,1,2.0,6,1,0,0,Medium,0
17,1,2,1,29.7,1,0,1,0,Low,0
18,0,3,0,31.0,2,0,1,0,Medium,0
19,1,3,0,29.7,1,0,0,1,Low,0
20,0,2,1,35.0,1,0,1,0,Medium,0
21,1,2,1,34.0,1,0,1,0,Low,1
22,1,3,0,15.0,1,1,0,0,Low,0
23,1,1,1,28.0,1,0,1,0,Medium,1
24,0,3,0,8.0,5,0,1,0,Medium,0
25,1,3,0,38.0,7,0,1,0,Medium,0
26,0,3,1,29.7,1,0,0,1,Low,0
27,0,1,1,19.0,6,0,1,0,High,1
28,1,3,0,29.7,1,1,0,0,Low,0
29,0,3,1,29.7,1,0,1,0,Low,0
30,0,1,1,40.0,1,0,0,1,Medium,0
31,1,1,0,29.7,2,0,0,1,High,1
32,1,3,0,29.7,1,1,0,0,Low,0
33,0,2,1,66.0,1,0,1,0,Low,0
34,0,1,1,28.0,2,0,0,1,High,0
35,0,1,1,42.0,2,0,1,0,High,0
36,1,3,1,29.7,1,0,0,1,Low,0
37,0,3,1,21.0,1,0,1,0,Low,0
38,0,3,0,18.0,3,0,1,0,Medium,0
39,1,3,0,14.0,2,0,0,1,Low,0
40,0,3,0,40.0,2,0,1,0,Low,0
41,0,2,0,27.0,2,0,1,0,Medium,0
42,0,3,1,29.7,1,0,0,1,Low,0
43,1,2,0,3.0,4,0,0,1,High,0
44,1,3,0,19.0,1,1,0,0,Low,0
45,0,3,1,29.7,1,0,1,0,Low,0
46,0,3,1,29.7,2,1,0,0,Medium,0
47,1,3,0,29.7,1,1,0,0,Low,0
48,0,3,1,29.7,3,0,0,1,Medium,0
49,0,3,0,18.0,2,0,1,0,Medium,0
50,0,3,1,7.0,6,0,1,0,Medium,0
51,0,3,1,21.0,1,0,1,0,Low,0
52,1,1,0,49.0,2,0,0,1,High,1
53,1,2,0,29.0,2,0,1,0,Medium,0
54,0,1,1,65.0,2,0,0,1,High,1
55,1,1,1,29.7,1,0,1,0,Medium,1
56,1,2,0,21.0,1,0,1,0,Low,0
57,0,3,1,28.5,1,0,0,1,Low,0
58,1,2,0,5.0,4,0,1,0,Medium,0
59,0,3,1,11.0,8,0,1,0,High,0
60,0,3,1,22.0,1,0,0,1,Low,0
61,1,1,0,38.0,1,0,1,0,High,1
62,0,1,1,45.0,2,0,1,0,High,1
63,0,3,1,4.0,6,0,1,0,Medium,0
64,0,1,1,29.7,1,0,0,1,Medium,0
65,1,3,1,29.7,3,0,0,1,Medium,0
66,1,2,0,29.0,1,0,1,0,Low,1
67,0,3,1,19.0,1,0,1,0,Low,0
68,1,3,0,17.0,7,0,1,0,Low,0
69,0,3,1,26.0,3,0,1,0,Low,0
70,0,2,1,32.0,1,0,1,0,Low,0
71,0,3,0,16.0,8,0,1,0,High,0
72,0,2,1,21.0,1,0,1,0,High,0
73,0,3,1,26.0,2,0,0,1,Low,0
74,1,3,1,32.0,1,0,1,0,High,0
75,0,3,1,25.0,1,0,1,0,Low,1
76,0,3,1,29.7,1,0,1,0,Low,0
77,0,3,1,29.7,1,0,1,0,Low,0
78,1,2,1,0.83,3,0,1,0,Medium,0
79,1,3,0,30.0,1,0,1,0,Low,0
80,0,3,1,22.0,1,0,1,0,Low,0
81,1,3,1,29.0,1,0,1,0,Low,0
82,1,3,0,29.7,1,1,0,0,Low,0
83,0,1,1,28.0,1,0,1,0,High,0
84,1,2,0,17.0,1,0,1,0,Low,0
85,1,3,0,33.0,4,0,1,0,Medium,0
86,0,3,1,16.0,5,0,1,0,Medium,0
87,0,3,1,29.7,1,0,1,0,Low,0
88,1,1,0,23.0,6,0,1,0,High,1
89,0,3,1,24.0,1,0,1,0,Low,0
90,0,3,1,29.0,1,0,1,0,Low,0
91,0,3,1,20.0,1,0,1,0,Low,0
92,0,1,1,46.0,2,0,1,0,High,1
93,0,3,1,26.0,4,0,1,0,Medium,0
94,0,3,1,59.0,1,0,1,0,Low,0
95,0,3,1,29.7,1,0,1,0,Low,0
96,0,1,1,71.0,1,0,0,1,Medium,1
97,1,1,1,23.0,2,0,0,1,High,1
98,1,2,0,34.0,2,0,1,0,Medium,0
99,0,2,1,34.0,2,0,1,0,Medium,0
100,0,3,0,28.0,1,0,1,0,Low,0
101,0,3,1,29.7,1,0,1,0,Low,0
102,0,1,1,21.0,2,0,1,0,High,1
103,0,3,1,33.0,1,0,1,0,Low,0
104,0,3,1,37.0,3,0,1,0,Low,0
105,0,3,1,28.0,1,0,1,0,Low,0
106,1,3,0,21.0,1,0,1,0,Low,0
107,1,3,1,29.7,1,0,1,0,Low,0
108,0,3,1,38.0,1,0,1,0,Low,0
109,1,3,0,29.7,2,1,0,0,Medium,0
110,0,1,1,47.0,1,0,1,0,High,1
111,0,3,0,14.5,2,0,0,1,Low,0
112,0,3,1,22.0,1,0,1,0,Low,0
113,0,3,0,20.0,2,0,1,0,Low,0
114,0,3,0,17.0,1,0,0,1,Low,0
115,0,3,1,21.0,1,0,1,0,Low,0
116,0,3,1,70.5,1,1,0,0,Low,0
117,0,2,1,29.0,2,0,1,0,Medium,0
118,0,1,1,24.0,2,0,0,1,High,1
119,0,3,0,2.0,7,0,1,0,Medium,0
120,0,2,1,21.0,3,0,1,0,High,0
121,0,3,1,29.7,1,0,1,0,Low,0
122,0,2,1,32.5,2,0,0,1,Medium,0
123,1,2,0,32.5,1,0,1,0,Low,1
124,0,1,1,54.0,2,0,1,0,High,1
125,1,3,1,12.0,2,0,0,1,Low,0
126,0,3,1,29.7,1,1,0,0,Low,0
127,1,3,1,24.0,1,0,1,0,Low,0
128,1,3,0,29.7,3,0,0,1,Medium,1
129,0,3,1,45.0,1,0,1,0,Low,0
130,0,3,1,33.0,1,0,0,1,Low,0
131,0,3,1,20.0,1,0,1,0,Low,0
132,0,3,0,47.0,2,0,1,0,Low,0
133,1,2,0,29.0,2,0,1,0,Medium,0
134,0,2,1,25.0,1,0,1,0,Low,0
135,0,2,1,23.0,1,0,0,1,Medium,0
136,1,1,0,19.0,3,0,1,0,Medium,1
137,0,1,1,37.0,2,0,1,0,High,1
138,0,3,1,16.0,1,0,1,0,Low,0
139,0,1,1,24.0,1,0,0,1,High,1
140,0,3,0,29.7,3,0,0,1,Medium,0
141,1,3,0,22.0,1,0,1,0,Low,0
142,1,3,0,24.0,2,0,1,0,Medium,0
143,0,3,1,19.0,1,1,0,0,Low,0
144,0,2,1,18.0,1,0,1,0,Low,0
145,0,2,1,19.0,3,0,1,0,Medium,0
146,1,3,1,27.0,1,0,1,0,Low,0
147,0,3,0,9.0,5,0,1,0,Medium,0
148,0,2,1,36.5,3,0,1,0,Medium,1
149,0,2,1,42.0,1,0,1,0,Low,0
150,0,2,1,51.0,1,0,1,0,Low,0
151,1,1,0,22.0,2,0,1,0,High,1
152,0,3,1,55.5,1,0,1,0,Low,0
153,0,3,1,40.5,3,0,1,0,Low,0
154,0,3,1,29.7,1,0,1,0,Low,0
155,0,1,1,51.0,2,0,0,1,High,0
156,1,3,0,16.0,1,1,0,0,Low,0
157,0,3,1,30.0,1,0,1,0,Low,0
158,0,3,1,29.7,1,0,1,0,Low,0
159,0,3,1,29.7,11,0,1,0,High,0
160,0,3,1,44.0,2,0,1,0,Medium,0
161,1,2,0,40.0,1,0,1,0,Medium,0
162,0,3,1,26.0,1,0,1,0,Low,0
163,0,3,1,17.0,1,0,1,0,Low,0
164,0,3,1,1.0,6,0,1,0,Medium,0
165,1,3,1,9.0,3,0,1,0,Medium,0
166,1,1,0,29.7,2,0,1,0,High,1
167,0,3,0,45.0,6,0,1,0,Medium,0
168,0,1,1,29.7,1,0,1,0,Medium,0
169,0,3,1,28.0,1,0,1,0,High,0
170,0,1,1,61.0,1,0,1,0,Medium,1
171,0,3,1,4.0,6,1,0,0,Medium,0
172,1,3,0,1.0,3,0,1,0,Low,0
173,0,3,1,21.0,1,0,1,0,Low,0
174,0,1,1,56.0,1,0,0,1,Medium,1
175,0,3,1,18.0,3,0,1,0,Low,0
176,0,3,1,29.7,5,0,1,0,Medium,0
177,0,1,0,50.0,1,0,0,1,Medium,1
178,0,2,1,30.0,1,0,1,0,Low,0
179,0,3,1,36.0,1,0,1,0,Low,0
180,0,3,0,29.7,11,0,1,0,High,0
181,0,2,1,29.7,1,0,0,1,Medium,0
182,0,3,1,9.0,7,0,1,0,Medium,0
183,1,2,1,1.0,4,0,1,0,Medium,1
184,1,3,0,4.0,3,0,1,0,Medium,0
185,0,1,1,29.7,1,0,1,0,High,1
186,1,3,0,29.7,2,1,0,0,Medium,0
187,1,1,1,45.0,1,0,1,0,Medium,0
188,0,3,1,40.0,3,1,0,0,Medium,0
189,0,3,1,36.0,1,0,1,0,Low,0
190,1,2,0,32.0,1,0,1,0,Low,0
191,0,2,1,19.0,1,0,1,0,Low,0
192,1,3,0,19.0,2,0,1,0,Low,0
193,1,2,1,3.0,3,0,1,0,Medium,1
194,1,1,0,44.0,1,0,0,1,Medium,1
195,1,1,0,58.0,1,0,0,1,High,1
196,0,3,1,29.7,1,1,0,0,Low,0
197,0,3,1,42.0,2,0,1,0,Low,0
198,1,3,0,29.7,1,1,0,0,Low,0
199,0,2,0,24.0,1,0,1,0,Low,0
200,0,3,1,28.0,1,0,1,0,Low,0
201,0,3,1,29.7,11,0,1,0,High,0
202,0,3,1,34.0,1,0,1,0,Low,0
203,0,3,1,45.5,1,0,0,1,Low,0
